question,opt1,opt2,opt3,opt4,answer,era,difficulty,hint
Which company released ChatGPT?,Google,OpenAI,Meta,Anthropic,OpenAI,current,3,
What is the name of Apple's AI platform announced in 2024?,Apple AI,Apple Intelligence,Siri GPT,iBrain,Apple Intelligence,current,3,
Which social network did Elon Musk buy in 2022?,Facebook,Snapchat,Twitter,TikTok,Twitter,current,3,
"Which company made the AI video model ""Sora""?",DeepMind,OpenAI,Runway,Meta,OpenAI,current,3,
Who won the 2024 Nobel Prize in Literature?,Haruki Murakami,Han Kang,Margaret Atwood,Salman Rushdie,Han Kang,current,4,
Who won the 2024 US Presidential election?,Kamala Harris,Donald Trump,Joe Biden,Ron DeSantis,Donald Trump,current,3,
Which company released ChatGPT?,Google,OpenAI,Meta,Anthropic,OpenAI,current,3,
What is the name of Apple's AI platform announced in 2024?,Apple AI,Apple Intelligence,Siri GPT,iBrain,Apple Intelligence,current,3,
Which social network did Elon Musk buy in 2022?,Facebook,Snapchat,Twitter,TikTok,Twitter,current,3,
"Which company made the AI video model ""Sora""?",DeepMind,OpenAI,Runway,Meta,OpenAI,current,3,
Who won the 2024 Nobel Prize in Literature?,Haruki Murakami,Han Kang,Margaret Atwood,Salman Rushdie,Han Kang,current,4,
Who won the 2024 US Presidential election?,Kamala Harris,Donald Trump,Joe Biden,Ron DeSantis,Donald Trump,current,3,
